Customer Lifetime Value,Response,EmploymentStatus,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Total Claim Amount
2763.519279,No,Employed,56274,69,32,5,384.811147
6979.535903,No,Unemployed,0,94,13,42,1131.464935
12887.43165,No,Employed,48767,108,18,38,566.472247
7645.861827,No,Unemployed,0,106,18,65,529.881344
2813.692575,No,Employed,43836,73,12,44,138.130879
8256.2978,Yes,Employed,62902,69,14,94,159.383042
5380.898636,Yes,Employed,55350,67,0,13,321.6
7216.100311,No,Unemployed,0,101,0,68,363.02968
24127.50402,Yes,Medical Leave,14072,71,13,3,511.2
7388.178085,No,Employed,28812,93,17,7,425.527834
4738.992022,No,Unemployed,0,67,23,5,482.4
8197.197078,No,Unemployed,0,110,27,87,528
8798.797003,No,Employed,77026,110,9,82,472.029737
8819.018934,Yes,Employed,99845,110,23,25,528
5384.431665,No,Employed,83689,70,21,10,307.139132
7463.139377,No,Employed,24599,64,12,50,42.920271
2566.867823,No,Medical Leave,25049,67,14,7,454.245098
3945.241604,No,Medical Leave,28855,101,12,59,647.442031
5710.333115,No,Employed,51148,72,9,1,308.981664
8162.617053,No,Employed,66140,101,11,21,484.8
2872.051273,No,Employed,57749,74,31,21,355.2
3041.791561,No,Disabled,13789,79,8,49,379.2
24127.50402,Yes,Medical Leave,14072,71,13,3,511.2
2450.190996,No,Unemployed,0,73,4,44,554.376763
2392.10789,No,Disabled,17870,61,30,91,439.2
5802.065978,No,Employed,97541,72,22,1,389.185006
3946.372085,No,Unemployed,0,111,15,47,799.2
5346.916576,No,Disabled,10511,139,33,64,516.237951
12902.56014,No,Employed,86584,111,33,54,532.8
3235.360468,No,Employed,75690,80,17,44,384
2454.58354,No,Employed,23158,63,4,6,322.294043
18975.45611,No,Employed,65999,237,1,14,615.927769
4715.321344,No,Unemployed,0,65,19,56,308.15089
5018.885233,No,Employed,54500,63,28,17,302.4
4932.916345,No,Employed,37260,62,19,42,15.437681
5744.229745,No,Employed,68987,71,11,40,204.475147
13891.73567,No,Employed,42305,117,10,62,561.6
7380.976717,No,Employed,65706,91,19,86,436.8
3090.034104,No,Unemployed,0,90,7,79,648
2521.633095,No,Employed,53243,66,4,15,157.397849
2652.061785,No,Unemployed,0,70,7,1,484.318536
2771.045031,Yes,Employed,50071,71,3,32,18.918935
3939.00637,Yes,Employed,60021,99,12,28,882.871945
12231.87968,No,Employed,43244,103,15,16,494.4
2443.665166,No,Employed,92834,61,15,56,292.8
12819.10289,No,Disabled,10105,172,5,4,0.517753
4468.510542,No,Unemployed,0,73,7,57,579.165954
5514.344018,No,Employed,23218,71,7,10,447.79344
3343.875326,No,Unemployed,0,92,11,77,529.624084
2294.478927,No,Unemployed,0,62,11,56,313.023175
36707.42639,No,Employed,24804,104,1,28,593.830288
33473.34946,Yes,Employed,33190,106,18,95,508.8
7983.431709,No,Employed,36014,69,4,40,173.956072
4854.745666,No,Employed,29834,64,19,44,307.2
4293.997319,No,Disabled,16701,113,20,26,831.625979
7164.395543,No,Employed,46623,91,1,53,436.8
7619.5158,No,Employed,64749,64,24,59,302.56519
3958.002823,No,Unemployed,0,101,29,12,484.8
4499.493252,No,Disabled,16969,124,34,47,704.768111
4059.567414,No,Disabled,11621,108,4,98,518.4
4458.113369,Yes,Retired,17622,65,1,36,312
8110.333139,No,Medical Leave,11489,105,4,50,504
3339.764873,No,Unemployed,0,94,20,53,863.327324
24261.01777,No,Employed,66525,100,0,86,104.331355
6613.973653,No,Unemployed,0,63,21,28,676.391482
2930.693543,No,Employed,33663,73,29,71,350.4
8672.194272,No,Employed,22547,112,7,60,537.6
11638.66926,No,Employed,61486,97,5,65,465.258644
6846.150323,Yes,Unemployed,0,95,13,20,456
11727.77648,No,Disabled,29879,102,17,0,500.254235
22643.83478,No,Employed,93011,113,17,12,281.451042
2614.474305,No,Employed,65186,65,29,27,5.434505
2451.752695,No,Medical Leave,26840,64,1,47,307.2
6781.270203,No,Unemployed,0,104,30,3,982.399613
4974.801539,Yes,Employed,75644,65,5,68,467.803638
8591.604933,No,Employed,38984,73,27,38,350.4
5592.161392,No,Employed,71811,71,17,48,29.03416
8009.472833,No,Employed,20961,67,20,33,321.6
11318.08982,No,Employed,38923,99,6,83,115.728852
58166.55351,No,Employed,61321,186,0,30,427.63121
8025.229358,No,Unemployed,0,77,20,26,25.807685
5780.182197,Yes,Employed,51066,74,23,0,787.993313
4118.539113,No,Employed,34378,102,12,54,489.6
2523.07015,No,Employed,43072,63,35,15,302.4
6554.216396,No,Disabled,25222,90,28,69,475.623251
7703.397294,No,Employed,36765,66,15,32,320.849072
5926.729379,Yes,Retired,23091,96,28,90,460.8
2683.470677,No,Employed,48269,69,3,79,282.151207
2695.182419,No,Employed,32720,67,13,12,321.6
6047.02516,Yes,Employed,20396,76,15,60,364.8
13171.01282,No,Medical Leave,21513,119,21,81,679.827592
10656.88195,Yes,Employed,72540,88,7,3,631.743039
2527.653796,No,Employed,80744,63,24,84,11.879037
2672.095756,No,Employed,52822,67,23,88,350.529033
5313.294035,No,Unemployed,0,77,8,10,863.3947
20946.19251,No,Employed,69738,74,2,26,492.127532
8375.353929,No,Medical Leave,17780,109,12,18,132.588288
4801.661503,No,Medical Leave,18107,62,29,11,297.6
5745.94334,No,Employed,57740,74,30,87,269.905129
6066.115969,No,Employed,32627,76,11,60,380.036697
8002.308333,Yes,Unemployed,0,107,3,65,513.6
2393.915369,Yes,Unemployed,0,70,24,10,425.266308
4762.8179,No,Employed,65795,62,2,85,49.011099
4330.38602,Yes,Employed,60475,107,9,18,513.6
9402.729769,No,Unemployed,0,130,28,88,936
6966.694527,No,Employed,41837,88,29,93,142.062768
7694.064293,No,Employed,32303,65,13,34,45.152521
8717.561149,No,Unemployed,0,117,5,89,561.6
5928.748528,No,Employed,40531,74,17,32,30.567357
2452.977288,No,Employed,79898,62,5,86,271.606799
6701.571657,No,Employed,56398,85,4,18,408
7556.24034,No,Employed,35257,98,16,2,470.4
8492.6988,No,Employed,27804,109,19,54,784.8
7713.494046,No,Employed,45506,66,16,32,316.8
24084.5352,No,Employed,65196,67,0,54,396.082036
7290.069769,No,Unemployed,0,102,11,70,489.6
4772.943848,Yes,Retired,20993,133,35,90,638.4
6806.491395,No,Employed,37839,86,35,77,465.633954
2469.781334,No,Employed,92711,62,24,10,368.400146
3103.923041,No,Employed,74665,78,10,90,236.902001
2981.875575,No,Unemployed,0,83,26,89,582.679087
8902.737595,No,Employed,46833,112,6,3,64.109663
5499.447223,No,Employed,88768,68,17,77,326.4
15023.59858,No,Employed,28262,192,9,77,921.6
2509.107875,No,Employed,33555,63,17,11,101.89645
31221.7481,No,Employed,42780,113,10,27,542.4
3133.503432,No,Employed,58850,78,20,26,143.747794
3837.451863,No,Employed,21880,97,29,37,424.077159
11790.49617,Yes,Retired,25251,66,13,43,316.8
