State,Customer Lifetime Value,Coverage,Monthly Premium Auto,Total Claim Amount,Vehicle Class,Vehicle Size
Washington,2763.519279,Basic,69,384.811147,Two-Door Car,Medsize
Arizona,6979.535903,Extended,94,1131.464935,Four-Door Car,Medsize
Nevada,12887.43165,Premium,108,566.472247,Two-Door Car,Medsize
California,7645.861827,Basic,106,529.881344,SUV,Medsize
Washington,2813.692575,Basic,73,138.130879,Four-Door Car,Medsize
Oregon,8256.2978,Basic,69,159.383042,Two-Door Car,Medsize
Oregon,5380.898636,Basic,67,321.6,Four-Door Car,Medsize
Arizona,7216.100311,Premium,101,363.02968,Four-Door Car,Medsize
Oregon,24127.50402,Basic,71,511.2,Four-Door Car,Medsize
Oregon,7388.178085,Extended,93,425.527834,Four-Door Car,Medsize
California,4738.992022,Basic,67,482.4,Four-Door Car,Small
California,8197.197078,Basic,110,528,SUV,Medsize
California,8798.797003,Premium,110,472.029737,Four-Door Car,Medsize
Arizona,8819.018934,Basic,110,528,SUV,Medsize
California,5384.431665,Basic,70,307.139132,Four-Door Car,Medsize
Oregon,7463.139377,Basic,64,42.920271,Four-Door Car,Medsize
Nevada,2566.867823,Basic,67,454.245098,Two-Door Car,Medsize
California,3945.241604,Basic,101,647.442031,SUV,Medsize
Oregon,5710.333115,Basic,72,308.981664,Four-Door Car,Medsize
California,8162.617053,Premium,101,484.8,Four-Door Car,Small
Oregon,2872.051273,Basic,74,355.2,Two-Door Car,Medsize
Washington,3041.791561,Extended,79,379.2,Four-Door Car,Medsize
Arizona,24127.50402,Basic,71,511.2,Four-Door Car,Medsize
Nevada,2450.190996,Basic,73,554.376763,Four-Door Car,Medsize
California,2392.10789,Basic,61,439.2,Four-Door Car,Medsize
Oregon,5802.065978,Basic,72,389.185006,Four-Door Car,Large
California,3946.372085,Premium,111,799.2,Four-Door Car,Small
Washington,5346.916576,Extended,139,516.237951,SUV,Medsize
Arizona,12902.56014,Premium,111,532.8,Four-Door Car,Large
Oregon,3235.360468,Extended,80,384,Four-Door Car,Small
Arizona,2454.58354,Basic,63,322.294043,Four-Door Car,Small
Nevada,18975.45611,Extended,237,615.927769,Luxury SUV,Medsize
California,4715.321344,Basic,65,308.15089,Four-Door Car,Medsize
Washington,5018.885233,Basic,63,302.4,Two-Door Car,Small
Oregon,4932.916345,Basic,62,15.437681,Four-Door Car,Medsize
Arizona,5744.229745,Basic,71,204.475147,Four-Door Car,Medsize
California,13891.73567,Premium,117,561.6,Four-Door Car,Small
Oregon,7380.976717,Extended,91,436.8,Four-Door Car,Small
Oregon,3090.034104,Extended,90,648,Two-Door Car,Small
Arizona,2521.633095,Basic,66,157.397849,Four-Door Car,Medsize
Nevada,2652.061785,Basic,70,484.318536,Two-Door Car,Medsize
Oregon,2771.045031,Basic,71,18.918935,Two-Door Car,Medsize
California,3939.00637,Extended,99,882.871945,Four-Door Car,Small
Arizona,12231.87968,Basic,103,494.4,Sports Car,Medsize
Washington,2443.665166,Basic,61,292.8,Four-Door Car,Large
Oregon,12819.10289,Premium,172,0.517753,SUV,Medsize
Arizona,4468.510542,Basic,73,579.165954,Four-Door Car,Medsize
Oregon,5514.344018,Basic,71,447.79344,Two-Door Car,Medsize
California,3343.875326,Extended,92,529.624084,Four-Door Car,Medsize
Arizona,2294.478927,Basic,62,313.023175,Four-Door Car,Medsize
Oregon,36707.42639,Basic,104,593.830288,SUV,Small
California,33473.34946,Basic,106,508.8,SUV,Medsize
Nevada,7983.431709,Basic,69,173.956072,Four-Door Car,Medsize
Washington,4854.745666,Basic,64,307.2,Four-Door Car,Medsize
California,4293.997319,Premium,113,831.625979,Four-Door Car,Small
Arizona,7164.395543,Extended,91,436.8,Four-Door Car,Small
California,7619.5158,Basic,64,302.56519,Four-Door Car,Medsize
Arizona,3958.002823,Basic,101,484.8,SUV,Small
Oregon,4499.493252,Extended,124,704.768111,SUV,Medsize
Oregon,4059.567414,Premium,108,518.4,Four-Door Car,Medsize
Arizona,4458.113369,Basic,65,312,Four-Door Car,Medsize
California,8110.333139,Premium,105,504,Two-Door Car,Small
Oregon,3339.764873,Extended,94,863.327324,Two-Door Car,Small
California,24261.01777,Basic,100,104.331355,SUV,Medsize
Arizona,6613.973653,Basic,63,676.391482,Four-Door Car,Large
Washington,2930.693543,Basic,73,350.4,Four-Door Car,Medsize
Oregon,8672.194272,Basic,112,537.6,SUV,Medsize
Arizona,11638.66926,Extended,97,465.258644,Two-Door Car,Small
Oregon,6846.150323,Extended,95,456,Two-Door Car,Large
California,11727.77648,Premium,102,500.254235,Four-Door Car,Medsize
Oregon,22643.83478,Basic,113,281.451042,SUV,Medsize
Oregon,2614.474305,Basic,65,5.434505,Two-Door Car,Large
Oregon,2451.752695,Basic,64,307.2,Four-Door Car,Medsize
Oregon,6781.270203,Basic,104,982.399613,Sports Car,Medsize
Oregon,4974.801539,Basic,65,467.803638,Two-Door Car,Medsize
Oregon,8591.604933,Basic,73,350.4,Four-Door Car,Small
Oregon,5592.161392,Basic,71,29.03416,Four-Door Car,Medsize
Nevada,8009.472833,Basic,67,321.6,Four-Door Car,Medsize
Washington,11318.08982,Extended,99,115.728852,Four-Door Car,Medsize
California,58166.55351,Basic,186,427.63121,Luxury Car,Small
California,8025.229358,Extended,77,25.807685,Two-Door Car,Large
California,5780.182197,Basic,74,787.993313,Four-Door Car,Medsize
California,4118.539113,Basic,102,489.6,SUV,Medsize
Nevada,2523.07015,Basic,63,302.4,Four-Door Car,Large
Oregon,6554.216396,Extended,90,475.623251,Four-Door Car,Small
Washington,7703.397294,Basic,66,320.849072,Four-Door Car,Medsize
California,5926.729379,Extended,96,460.8,Four-Door Car,Medsize
California,2683.470677,Basic,69,282.151207,Four-Door Car,Medsize
Oregon,2695.182419,Basic,67,321.6,Four-Door Car,Medsize
California,6047.02516,Extended,76,364.8,Four-Door Car,Medsize
Oregon,13171.01282,Premium,119,679.827592,Two-Door Car,Small
Washington,10656.88195,Extended,88,631.743039,Two-Door Car,Medsize
Oregon,2527.653796,Basic,63,11.879037,Four-Door Car,Medsize
Oregon,2672.095756,Basic,67,350.529033,Two-Door Car,Small
California,5313.294035,Extended,77,863.3947,Four-Door Car,Medsize
Oregon,20946.19251,Basic,74,492.127532,Four-Door Car,Large
Arizona,8375.353929,Basic,109,132.588288,SUV,Medsize
California,4801.661503,Basic,62,297.6,Four-Door Car,Medsize
Arizona,5745.94334,Basic,74,269.905129,Four-Door Car,Medsize
Oregon,6066.115969,Extended,76,380.036697,Two-Door Car,Small
California,8002.308333,Basic,107,513.6,SUV,Medsize
California,2393.915369,Basic,70,425.266308,Four-Door Car,Medsize
Oregon,4762.8179,Basic,62,49.011099,Two-Door Car,Medsize
California,4330.38602,Premium,107,513.6,Four-Door Car,Medsize
California,9402.729769,Extended,130,936,SUV,Medsize
Oregon,6966.694527,Extended,88,142.062768,Four-Door Car,Small
California,7694.064293,Basic,65,45.152521,Four-Door Car,Medsize
Oregon,8717.561149,Basic,117,561.6,SUV,Medsize
California,5928.748528,Basic,74,30.567357,Two-Door Car,Medsize
Oregon,2452.977288,Basic,62,271.606799,Four-Door Car,Medsize
California,6701.571657,Extended,85,408,Four-Door Car,Small
Washington,7556.24034,Extended,98,470.4,Four-Door Car,Small
Arizona,8492.6988,Basic,109,784.8,SUV,Medsize
Oregon,7713.494046,Basic,66,316.8,Four-Door Car,Medsize
Washington,24084.5352,Basic,67,396.082036,Four-Door Car,Medsize
California,7290.069769,Basic,102,489.6,SUV,Medsize
Oregon,4772.943848,Extended,133,638.4,SUV,Medsize
Arizona,6806.491395,Extended,86,465.633954,Two-Door Car,Medsize
California,2469.781334,Basic,62,368.400146,Two-Door Car,Medsize
California,3103.923041,Extended,78,236.902001,Four-Door Car,Medsize
Washington,2981.875575,Extended,83,582.679087,Two-Door Car,Medsize
California,8902.737595,Basic,112,64.109663,Sports Car,Medsize
Oregon,5499.447223,Basic,68,326.4,Two-Door Car,Small
California,15023.59858,Basic,192,921.6,Luxury SUV,Medsize
Nevada,2509.107875,Basic,63,101.89645,Four-Door Car,Medsize
Oregon,31221.7481,Premium,113,542.4,Four-Door Car,Medsize
Oregon,3133.503432,Extended,78,143.747794,Four-Door Car,Medsize
Arizona,3837.451863,Extended,97,424.077159,Four-Door Car,Medsize
Oregon,11790.49617,Basic,66,316.8,Four-Door Car,Medsize
Washington,7838.068321,Basic,69,2.704934,Four-Door Car,Medsize
Arizona,4305.808345,Basic,109,523.2,Sports Car,Medsize
Nevada,5973.976904,Basic,74,113.801497,Four-Door Car,Medsize
Oregon,5670.442396,Basic,72,192.87572,Four-Door Car,Medsize
Arizona,4731.749346,Premium,118,828.662719,Four-Door Car,Small
Arizona,8026.379641,Basic,74,532.8,Four-Door Car,Small
Arizona,4022.963529,Basic,117,975.107098,SUV,Medsize
Oregon,9618.310865,Basic,119,53.798708,Sports Car,Medsize
Washington,2274.775451,Basic,63,606.642452,Four-Door Car,Small
Oregon,9552.926922,Extended,79,289.9122,Four-Door Car,Medsize
Arizona,10388.55323,Extended,89,392.604371,Four-Door Car,Small
Oregon,2470.121222,Basic,74,721.242206,Two-Door Car,Large
Arizona,5619.068508,Premium,140,456.52385,SUV,Medsize
California,9047.119209,Extended,127,1087.995426,Sports Car,Medsize
Washington,6692.143668,Premium,168,806.4,SUV,Medsize
Oregon,3731.504584,Extended,96,460.8,Four-Door Car,Large
Nevada,3660.770258,Extended,92,251.992083,Four-Door Car,Medsize
California,7928.829252,Basic,72,345.6,Four-Door Car,Medsize
Arizona,5011.751577,Basic,67,321.6,Two-Door Car,Medsize
Arizona,7988.258292,Extended,99,99.257608,Four-Door Car,Medsize
Oregon,3885.456401,Premium,105,504,Four-Door Car,Large
Washington,2659.337982,Basic,70,336,Four-Door Car,Small
Washington,8564.768226,Basic,107,178.006524,Sports Car,Medsize
Arizona,4885.162511,Extended,126,604.8,SUV,Medsize
Arizona,9753.307106,Extended,127,8.312729,SUV,Medsize
California,2946.153697,Basic,74,316.599228,Four-Door Car,Medsize
California,2581.110945,Basic,65,312,Four-Door Car,Small
Oregon,3517.385764,Extended,92,56.300724,Four-Door Car,Medsize
Oregon,9743.350113,Extended,82,393.6,Four-Door Car,Small
Arizona,3873.647046,Basic,105,701.708239,Sports Car,Medsize
Arizona,7649.28199,Basic,64,128.705563,Two-Door Car,Large
California,2287.59692,Basic,63,679.368378,Two-Door Car,Medsize
Washington,4475.424592,Basic,111,497.126827,SUV,Medsize
California,8714.922135,Basic,118,566.4,SUV,Medsize
Washington,2248.449633,Basic,63,347.857619,Four-Door Car,Medsize
California,7416.197322,Extended,77,554.4,Four-Door Car,Medsize
Oregon,7771.158973,Basic,68,465.41477,Four-Door Car,Small
California,6968.3419,Basic,69,496.8,Four-Door Car,Small
California,4250.282624,Basic,61,292.8,Four-Door Car,Small
Oregon,19776.56654,Extended,82,256.813837,Four-Door Car,Medsize
California,21343.46599,Basic,74,355.2,Four-Door Car,Medsize
California,2413.139714,Basic,63,542.319401,Four-Door Car,Medsize
Oregon,15363.84716,Premium,101,303.148399,Four-Door Car,Medsize
Nevada,8456.961887,Basic,73,25.438063,Four-Door Car,Medsize
Nevada,2189.642522,Basic,61,292.8,Four-Door Car,Small
California,5780.182197,Basic,74,787.993313,Four-Door Car,Medsize
California,4639.981638,Basic,117,84.024413,Sports Car,Medsize
Washington,4465.335703,Basic,112,215.8182,SUV,Medsize
Arizona,5968.118877,Basic,74,232.926145,Two-Door Car,Medsize
Washington,5097.763337,Basic,74,532.8,Two-Door Car,Medsize
California,4076.634665,Basic,104,710.433775,Sports Car,Small
California,12252.60179,Premium,115,552,Four-Door Car,Medsize
Nevada,16936.27147,Extended,217,1122.658899,Luxury Car,Medsize
Oregon,4892.435461,Basic,62,408.374746,Four-Door Car,Large
Nevada,9942.304791,Extended,85,408,Four-Door Car,Small
California,3735.838129,Basic,110,792,SUV,Medsize
California,13117.52215,Basic,111,532.8,SUV,Small
California,4574.524094,Basic,114,754.358929,SUV,Medsize
Arizona,5470.060561,Extended,138,702.990032,SUV,Medsize
California,2978.84601,Extended,76,206.837111,Four-Door Car,Medsize
Oregon,6410.967544,Extended,82,275.395894,Four-Door Car,Medsize
California,4479.023088,Basic,111,459.738128,SUV,Medsize
California,2383.731879,Basic,69,496.8,Two-Door Car,Small
California,2764.493659,Basic,70,336,Two-Door Car,Medsize
Oregon,7920.105377,Basic,67,321.6,Two-Door Car,Small
Arizona,6889.097981,Basic,63,302.4,Four-Door Car,Small
Washington,3274.194616,Extended,81,430.994107,Four-Door Car,Small
Oregon,9951.707743,Premium,255,1836,Luxury SUV,Medsize
Oregon,2521.555686,Basic,67,67.632476,Four-Door Car,Medsize
Washington,23706.11337,Extended,96,844.481918,Two-Door Car,Medsize
California,6047.02516,Extended,76,364.8,Four-Door Car,Medsize
California,11140.30248,Premium,150,722.486994,SUV,Medsize
Nevada,4334.064096,Extended,123,590.4,SUV,Medsize
Arizona,2799.74791,Basic,69,481.027516,Four-Door Car,Medsize
California,7923.136624,Basic,113,1124.427734,SUV,Medsize
California,3688.110888,Basic,63,669.682001,Four-Door Car,Medsize
California,12067.45599,Basic,116,1284.093173,SUV,Medsize
California,2924.976721,Basic,72,240.259479,Four-Door Car,Medsize
California,15014.0927,Premium,190,912,SUV,Small
Oregon,9277.233839,Basic,116,556.8,SUV,Medsize
Washington,6274.123875,Extended,78,115.086827,Four-Door Car,Medsize
California,3886.647414,Extended,98,470.4,Two-Door Car,Small
California,4386.277558,Basic,67,321.6,Four-Door Car,Medsize
Washington,11365.26766,Extended,95,383.167471,Two-Door Car,Small
California,5610.96434,Basic,70,307.963291,Four-Door Car,Medsize
Arizona,2912.892035,Basic,74,355.2,Four-Door Car,Small
Oregon,6915.729915,Extended,85,520.364752,Four-Door Car,Large
Oregon,6262.663307,Premium,159,466.436375,Sports Car,Small
Oregon,6503.397049,Extended,84,451.670309,Two-Door Car,Small
Washington,8007.399376,Basic,112,537.6,Sports Car,Medsize
California,2929.916512,Basic,72,345.6,Four-Door Car,Medsize
Oregon,5969.55297,Basic,74,355.2,Four-Door Car,Medsize
California,5473.15987,Basic,69,331.2,Four-Door Car,Medsize
Nevada,5645.396665,Basic,72,428.734656,Four-Door Car,Small
Washington,6369.262355,Extended,83,398.4,Two-Door Car,Small
Oregon,11833.76732,Basic,103,494.4,SUV,Small
Oregon,6121.107929,Extended,77,369.6,Four-Door Car,Medsize
Nevada,5159.369746,Basic,74,831.752839,Two-Door Car,Medsize
Nevada,2514.59196,Basic,65,156.124914,Four-Door Car,Medsize
Arizona,8668.611261,Basic,114,373.428187,SUV,Small
California,4960.965384,Basic,66,395.934815,Four-Door Car,Small
Arizona,5504.139033,Basic,73,350.4,Four-Door Car,Medsize
Arizona,7507.455372,Basic,64,231.201886,Two-Door Car,Medsize
Arizona,32269.85139,Extended,90,289.904105,Four-Door Car,Medsize
Oregon,5657.031588,Premium,152,729.6,SUV,Small
Arizona,5061.757902,Basic,68,326.4,Two-Door Car,Medsize
California,5912.783829,Basic,73,350.4,Two-Door Car,Small
California,15182.27975,Basic,63,105.765111,Four-Door Car,Large
Washington,10747.03094,Extended,136,639.464548,SUV,Large
Washington,2050.623512,Basic,61,292.8,Four-Door Car,Small
Washington,2465.444865,Basic,63,383.442328,Four-Door Car,Small
Nevada,5343.121327,Basic,66,316.8,Two-Door Car,Small
Arizona,8119.829071,Basic,67,99.085943,Four-Door Car,Large
Oregon,4605.265164,Basic,64,307.2,Four-Door Car,Small
California,6408.785577,Extended,84,566.935022,Two-Door Car,Large
California,2376.533508,Extended,91,436.8,Two-Door Car,Medsize
California,3211.070017,Extended,86,412.8,Two-Door Car,Medsize
Arizona,5094.522262,Basic,64,307.2,Four-Door Car,Medsize
